Sender	Subject	Body	IsSpam
transportation@bus-pass.scam	Free Bus Pass	Free city transportation pass	True
news@company.com	Company Newsletter	Monthly company newsletter published	False
events@company.com	Company Event	Annual company picnic next month	False
awards@company.com	Employee Recognition	Employee of the month recognition	False
milestones@company.com	Company Milestone	Company celebrates 25th anniversary	False
expansion@company.com	Business Expansion	New office location opening	False
merger@company.com	Company Merger	Merger announcement and details	False
acquisition@company.com	Company Acquisition	Strategic acquisition completed	False
ipo@company.com	Public Offering	Initial public offering announcement	False
earnings@company.com	Quarterly Earnings	Q3 earnings exceed analyst expectations	False
dividend@company.com	Dividend Payment	Quarterly dividend payment announced	False
stock@company.com	Stock Split	Two-for-one stock split approved	False
buyback@company.com	Share Buyback	Share buyback program initiated	False
leadership@company.com	Leadership Change	New CEO appointment effective	False
restructuring@company.com	Organizational Restructuring	Company restructuring plan announced	False
layoffs@company.com	Workforce Reduction	Workforce reduction necessary	False
hiring@company.com	Hiring Freeze	Temporary hiring freeze implemented	False
benefits@company.com	Benefits Change	Employee benefits package updated	False
policy@company.com	Policy Update	New company policies effective	False
culture@company.com	Company Culture	Company culture initiative launched	False
values@company.com	Core Values	Updated company core values	False
mission@company.com	Mission Statement	Revised mission statement published	False
vision@company.com	Company Vision	Company vision for next decade	False
strategy@company.com	Strategic Plan	Five-year strategic plan approved	False
goals@company.com	Annual Goals	Annual company goals announced	False
objectives@company.com	Business Objectives	Quarterly business objectives set	False
kpi@company.com	Key Performance Indicators	KPI dashboard updated monthly	False
metrics@company.com	Success Metrics	Success metrics tracked quarterly	False
benchmarks@company.com	Industry Benchmarks	Industry benchmark comparison	False
competition@company.com	Competitive Analysis	Competitive landscape analysis	False
market@company.com	Market Update	Market conditions analysis	False
investment@get-rich-scheme.scam	Investment Scam	Turn $1000 into $100000 guaranteed	True
pyramid@multi-level.fake	Pyramid Scheme	Recruit friends make millions	True
ponzi@investment-fraud.org	Ponzi Returns	Guaranteed 50% monthly returns	True
advance@fee-fraud.net	Advance Fee	Pay $500 fee receive $50000	True
overpayment@check-scam.org	Overpayment Scam	Deposit check return overpayment	True
mystery@shopper-scam.net	Mystery Shopping	Earn $500 weekly mystery shopping	True
envelope@stuffing-scam.org	Envelope Stuffing	Stuff envelopes at home earn money	True
assembly@work-home.fake	Assembly Work	Assemble products at home for pay	True
typing@data-entry.scam	Data Entry	Type from home earn $25 hourly	True
survey@paid-survey.fake	Paid Surveys	Earn $200 daily taking surveys	True
rebate@processing-scam.org	Rebate Processing	Process rebates earn $15 per hour	True
craft@assembly-kit.fake	Craft Assembly	Assemble crafts at home for money	True
medical@billing-scam.net	Medical Billing	Medical billing from home training	True
bookkeeping@home-business.org	Bookkeeping Service	Start bookkeeping business at home	True
travel@agent-scam.fake	Travel Agent	Become travel agent work from home	True
real-estate@license-scam.net	Real Estate License	Get real estate license online	True
insurance@sales-scam.org	Insurance Sales	Sell insurance earn huge commissions	True
financial@planning-fake.net	Financial Planning	Financial planning certification easy	True
tax@preparation-scam.org	Tax Preparation	Tax preparation business opportunity	True
consulting@business-fake.net	Business Consulting	Start consulting business today	True
coaching@life-scam.org	Life Coaching	Life coaching certification program	True
fitness@trainer-fake.net	Personal Training	Personal trainer certification online	True
nutrition@counselor-scam.org	Nutrition Counseling	Nutrition counselor certification	True
massage@therapy-fake.net	Massage Therapy	Massage therapy license online	True
beauty@cosmetology-scam.org	Cosmetology License	Cosmetology license in 30 days	True
childcare@daycare-fake.net	Daycare Business	Start profitable daycare business	True
pet@grooming-scam.org	Pet Grooming	Pet grooming business opportunity	True
cleaning@service-fake.net	Cleaning Service	Cleaning service franchise available	True
landscaping@lawn-scam.org	Lawn Care Business	Lawn care business startup kit	True
handyman@service-fake.net	Handyman Service	Handyman service business opportunity	True
maintenance@company.com	Facility Maintenance	Scheduled facility maintenance complete	False
utilities@company.com	Utility Bills	Monthly utility costs decreased	False
lease@company.com	Office Lease	Office lease renewal negotiated	False
renovation@company.com	Office Renovation	Office renovation project approved	False
furniture@company.com	Office Furniture	New office furniture delivery scheduled	False
equipment@company.com	Office Equipment	Equipment maintenance contract renewed	False
supplies@company.com	Office Supplies	Monthly office supplies order placed	False
catering@company.com	Office Catering	Catering service for company event	False
cleaning@company.com	Cleaning Service	Cleaning service contract updated	False
security@company.com	Security Service	Security service patrol schedule	False
parking@company.com	Parking Management	Employee parking assignments updated	False
reception@company.com	Reception Area	Reception area redesign completed	False
conference@company.com	Conference Room	Conference room booking system updated	False
break@company.com	Break Room	Break room supplies restocked	False
kitchen@company.com	Office Kitchen	Kitchen appliances maintenance completed	False
storage@company.com	Storage Space	Additional storage space allocated	False
mailroom@company.com	Mail Service	Mail delivery schedule updated	False
shipping@company.com	Shipping Department	Shipping department efficiency improved	False
receiving@company.com	Receiving Dock	Receiving dock schedule optimized	False
loading@company.com	Loading Bay	Loading bay safety inspection passed	False
doctor@medical-scam.org	Medical Miracle	New medical breakthrough cure everything	True
surgery@plastic-fake.net	Plastic Surgery	Plastic surgery at 90% discount	True
dentist@teeth-scam.org	Perfect Teeth	Perfect teeth without dentist visit	True
hospital@treatment-fake.net	Hospital Treatment	Revolutionary hospital treatment available	True
clinic@health-scam.org	Health Clinic	Free health screening reveals problems	True
medicine@prescription-fake.net	Prescription Medicine	Get any prescription without doctor	True
therapy@miracle-scam.org	Miracle Therapy	Miracle therapy cures all diseases	True
specialist@expert-fake.net	Medical Specialist	Medical specialist consultation free	True
diagnosis@instant-scam.org	Instant Diagnosis	Medical diagnosis in 5 minutes	True
treatment@alternative-fake.net	Alternative Treatment	Alternative medicine works better	True
cure@natural-scam.org	Natural Cure	Natural cure doctors don't want known	True
supplement@health-fake.net	Health Supplement	Health supplement FDA doesn't approve	True
vitamin@mega-dose.scam	Mega Vitamins	Mega dose vitamins cure everything	True
mineral@essential-fake.org	Essential Minerals	Essential minerals missing from diet	True
herb@medicinal-scam.net	Medicinal Herbs	Medicinal herbs ancient secret healing	True
oil@essential-fake.org	Essential Oils	Essential oils heal any condition	True
detox@cleanse-scam.net	Body Detox	Body detox removes all toxins	True
juice@cleanse-fake.org	Juice Cleanse	Juice cleanse melts fat away	True
tea@weight-loss.scam	Weight Loss Tea	Weight loss tea burns fat overnight	True
coffee@fat-burning.fake	Fat Burning Coffee	Fat burning coffee melts pounds	True
research@company.com	Market Research	Consumer research findings available	False
development@company.com	Product Development	New product development milestone reached	False
innovation@company.com	Innovation Lab	Innovation lab project presentations	False
prototype@company.com	Prototype Testing	Product prototype testing results	False
design@company.com	Design Review	Product design review scheduled	False
engineering@company.com	Engineering Update	Engineering specifications updated	False
testing@company.com	Quality Testing	Quality testing protocols implemented	False
certification@company.com	Product Certification	Product certification process completed	False
approval@company.com	Regulatory Approval	Regulatory approval received	False
launch@company.com	Product Launch	Product launch date confirmed	False
manufacturing@company.com	Manufacturing Process	Manufacturing process optimization	False
supply@company.com	Supply Chain	Supply chain disruption mitigation	False
procurement@company.com	Procurement Process	Procurement process improvements	False
sourcing@company.com	Strategic Sourcing	Strategic sourcing initiative	False
vendor@company.com	Vendor Performance	Vendor performance evaluation	False
quality@company.com	Quality Assurance	Quality assurance audit results	False
inspection@company.com	Inspection Report	Manufacturing inspection completed	False
packaging@company.com	Packaging Design	New packaging design approved	False
labeling@company.com	Product Labeling	Product labeling compliance verified	False
distribution@company.com	Distribution Network	Distribution network expansion	False
pharmacy@online-pills.scam	Online Pharmacy	Buy prescription drugs online cheap	True
medication@no-prescription.fake	No Prescription Needed	Medication without prescription required	True
drugstore@discount-meds.org	Discount Drugstore	Prescription medications 80% off	True
prescription@fake-doctor.net	Fake Prescription	Doctor writes prescription online	True
pharmaceutical@generic-drugs.scam	Generic Drugs	Generic drugs same as brand name	True
painkillers@opioid-scam.org	Pain Medication	Strong pain medication available	True
sleeping@pills-online.fake	Sleeping Pills	Sleeping pills without side effects	True
anxiety@medication-scam.net	Anxiety Medicine	Anxiety medication instant relief	True
depression@antidepressant.fake	Antidepressants	Antidepressants improve mood immediately	True
adhd@stimulant-scam.org	ADHD Medication	ADHD medication improves focus	True
diabetes@insulin-fake.net	Diabetes Medication	Diabetes medication cure diabetes	True
blood@pressure-pills.scam	Blood Pressure Pills	Blood pressure pills work instantly	True
cholesterol@statin-fake.org	Cholesterol Medicine	Cholesterol medicine lowers levels	True
heart@medication-scam.net	Heart Medicine	Heart medication prevents attacks	True
cancer@chemotherapy-fake.org	Cancer Treatment	Cancer treatment cure guaranteed	True
antibiotic@infection-scam.net	Antibiotics	Antibiotics cure any infection	True
vaccine@immunization-fake.org	Vaccines	Vaccines prevent all diseases	True
hormone@replacement-scam.net	Hormone Therapy	Hormone therapy reverses aging	True
steroid@muscle-building.fake	Steroids	Steroids build muscle fast	True
enhancement@male-pills.scam	Male Enhancement	Male enhancement pills work guaranteed	True
travel@company.com	Business Travel	Business travel policy updated	False
expense@company.com	Travel Expenses	Travel expense report approved	False
booking@company.com	Hotel Booking	Hotel reservations confirmed	False
flight@company.com	Flight Information	Flight itinerary changes	False
transportation@company.com	Ground Transportation	Airport transportation arranged	False
visa@company.com	Travel Visa	Business visa application approved	False
passport@company.com	Passport Renewal	Passport renewal reminder	False
insurance@company.com	Travel Insurance	Travel insurance coverage details	False
per-diem@company.com	Per Diem Rates	Updated per diem rates effective	False
reimbursement@company.com	Expense Reimbursement	Expense reimbursement processed	False
conference@company.com	Conference Travel	Conference travel arrangements	False
training@company.com	Training Travel	Training seminar travel approved	False
client@company.com	Client Visit	Client visit travel arrangements	False
site@company.com	Site Visit	Site inspection travel scheduled	False
relocation@company.com	Employee Relocation	Relocation assistance package	False
temporary@company.com	Temporary Assignment	Temporary assignment travel	False
international@company.com	International Travel	International business trip	False
domestic@company.com	Domestic Travel	Domestic travel guidelines	False
group@company.com	Group Travel	Group travel discounts available	False
corporate@company.com	Corporate Rates	Corporate travel rates negotiated	False
vacation@travel-scam.org	Dream Vacation	Luxury vacation package $99 total	True
cruise@ship-scam.net	Free Cruise	Free 7-day cruise just pay taxes	True
resort@timeshare-fake.org	Resort Timeshare	Resort timeshare presentation gift	True
airline@ticket-scam.net	Cheap Flights	Airline tickets 90% off regular price	True
hotel@accommodation-fake.org	Hotel Deal	5-star hotel room $29 per night	True
rental@car-scam.net	Car Rental	Luxury car rental $5 per day	True
tour@package-fake.org	Tour Package	All-inclusive tour package cheap	True
excursion@adventure-scam.net	Adventure Tour	Adventure tour extreme discount	True
safari@wildlife-fake.org	Safari Trip	African safari adventure package	True
cruise@river-scam.net	River Cruise	European river cruise discount	True
ski@resort-fake.org	Ski Resort	Ski resort package all inclusive	True
beach@vacation-scam.net	Beach Resort	Beach resort unlimited amenities	True
mountain@cabin-fake.org	Mountain Retreat	Mountain cabin retreat package	True
spa@wellness-scam.net	Spa Weekend	Spa weekend relaxation package	True
casino@gambling-trip.fake	Casino Trip	Casino trip with free gambling	True
theme@park-scam.org	Theme Park	Theme park vacation package	True
festival@music-fake.net	Music Festival	Music festival VIP tickets	True
sports@event-scam.org	Sports Event	Sports event premium tickets	True
concert@show-fake.net	Concert Tickets	Concert tickets below face value	True
theater@broadway-scam.org	Broadway Show	Broadway show tickets discount	True
